File path:,
File note:,
File date:,02/06/17
File time:,07:24:35
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.288,0.281,0.291,0.296
Ek:,307.3,277.9,255.5,242.0
Pm:,55.89,49.32,50.13,45.27
Em:,,,456.5,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.346,0.294,0.394,0.522
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:34,34,6.997,30,0.000000,0.000000,0.000000,0.000000,1.166,1.678,0.305,,0.266,0.0464,4.644,0.422,4048,0.027,2.355,,39.96,1.164,1.661,0.009242,0.008329,0.0124,1.110,,12,0.0158,1.164,36,0.000426,1.646
,2,22,06:37,397,7.416,30,5.876,6.109,57.46,0.0229,1.236,1.686,0.267,0.107,0.308,0.0434,4.337,0.382,6390,0.022,2.344,,13.08,1.226,1.679,0.0199,0.0284,0.0347,0.701,,12,0.0144,1.226,36,0.000735,1.653
,3,49,07:40,460,7.709,31,12.47,13.03,115.8,0.0486,1.285,1.724,0.255,0.162,0.304,0.0393,3.926,0.260,6032,0.000,2.293,,13.86,1.267,1.696,0.0199,0.0236,0.0309,0.843,,15,0.0140,1.267,36,0.000047,1.694
,4,81,08:43,523,7.399,32,22.25,20.49,202.7,0.0867,1.233,1.700,0.275,0.087,0.043,0.0416,4.155,0.324,5264,0.014,2.325,,12.86,1.248,1.685,0.0205,0.0271,0.0340,0.756,,17,0.0128,1.248,36,0.000918,1.652
,5,118,09:46,586,7.586,31,27.40,28.19,319.4,0.107,1.264,1.647,0.232,0.210,0.257,0.0449,4.494,0.314,3472,0.047,2.400,,15.55,1.252,1.635,0.0149,0.0196,0.0246,0.762,,14,0.0136,1.252,36,0.000179,1.629
,6,163,10:49,649,7.573,31,32.16,36.40,378.4,0.125,1.262,1.572,0.197,0.307,0.228,0.0386,3.855,0.330,6166,0.096,2.514,,8.746,1.265,1.563,0.0186,0.0286,0.0341,0.648,,15,0.008437,1.265,36,0.000608,1.541
,7,216,11:52,712,7.267,32,44.07,44.64,478.8,0.172,1.211,1.522,0.204,0.266,0.065,0.0368,3.681,0.316,4285,0.133,2.598,,10.19,1.228,1.515,0.0160,0.0232,0.0281,0.691,,14,0.007859,1.228,36,0.000927,1.481
,8,279,12:55,775,7.189,30,53.33,52.75,307.7,0.208,1.198,1.481,0.191,0.299,0.027,0.0183,1.831,0.284,5539,0.164,2.668,,9.066,1.176,1.434,0.0187,0.0215,0.0284,0.869,,18,0.006184,1.176,36,0.001059,1.396
,9,353,13:59,839,6.786,31,49.06,55.21,,0.191,1.131,1.314,0.139,0.443,,,,,,0.312,3.009,,5.074,1.131,1.314,0.0276,0.0231,0.0360,1.195,,18,0.005627,1.131,36,0.000100,1.310
,10,442,15:01,901,6.538,31,50.24,53.77,,0.196,1.090,1.229,0.114,0.521,,,,,,0.402,3.215,,3.727,1.090,1.229,0.0322,0.0193,0.0375,1.666,,15,0.005507,1.090,36,0.000088,1.226
